monotonic_ns,controller_ts,q0,q1,q2,q3,q4,q5,qd0,qd1,qd2,qd3,qd4,qd5
24266718502435,177010.042000,1.644304,-3.540264,0.330399,-3.639560,-1.593651,3.899937,0.000000,0.000000,-0.000000,0.000000,0.000084,0.906234
24266720510270,177010.044000,1.644340,-3.540240,0.330423,-3.639560,-1.593639,3.901756,0.000000,0.000000,-0.000000,0.000000,0.000082,0.901593
24266722510856,177010.046000,1.644340,-3.540324,0.330423,-3.639548,-1.593639,3.903531,0.000000,0.000000,-0.000000,0.000000,0.000081,0.902591
24266724517694,177010.048000,1.644364,-3.540300,0.330399,-3.639548,-1.593675,3.905327,0.000000,0.000000,-0.000000,0.000000,0.000080,0.901193
24266726512381,177010.050000,1.644328,-3.540312,0.330411,-3.639536,-1.593675,3.907017,0.000000,0.000000,-0.000000,0.000000,0.000079,0.900027
24266728523910,177010.052000,1.644328,-3.540312,0.330459,-3.639560,-1.593651,3.908850,0.000000,0.000000,-0.000000,0.000000,0.000078,0.900368
24266730547244,177010.054000,1.644328,-3.540264,0.330411,-3.639560,-1.593663,3.910625,0.000000,0.000000,-0.000000,0.000000,0.000077,0.900914
24266732556903,177010.056000,1.644352,-3.540276,0.330386,-3.639548,-1.593651,3.912422,0.000000,0.000000,-0.000000,0.000000,0.000076,0.899705
24266734600527,177010.058000,1.644340,-3.540252,0.330386,-3.639560,-1.593687,3.914206,0.000000,0.000000,-0.000000,0.000000,0.000085,0.895282
24266736497291,177010.060000,1.644328,-3.540300,0.330435,-3.639560,-1.593711,3.916052,0.000000,0.000000,-0.000000,0.000000,0.000085,0.895493
24266738460555,177010.062000,1.644340,-3.540264,0.330386,-3.639560,-1.593639,3.917836,0.000000,0.000000,-0.000000,0.000000,0.000084,0.893583
24266740480113,177010.064000,1.644352,-3.540288,0.330386,-3.639560,-1.593639,3.919623,0.000000,0.000000,-0.000000,0.000000,0.000083,0.891952
24266742440994,177010.066000,1.644328,-3.540276,0.330375,-3.639536,-1.593627,3.921490,0.000000,0.000000,-0.000000,0.000000,0.000082,0.890461
24266744469531,177010.068000,1.644316,-3.540276,0.330375,-3.639572,-1.593639,3.923301,0.000000,0.000000,-0.000000,0.000000,0.000081,0.888254
24266746437005,177010.070000,1.644328,-3.540264,0.330399,-3.639572,-1.593615,3.925074,0.000000,0.000000,-0.000000,0.000000,0.000081,0.888722
