monotonic_ns,frame_time_ns,vector_x,vector_y
790553215846801,790553217808732,-0.48154900,0.87641917
790553249779487,790553251164508,-0.45425608,0.89087115
790553282661917,790553284520028,-0.42215552,0.90652342
790553316656408,790553317875804,-0.39123478,0.92029090
790553349544693,790553351231580,-0.35748143,0.93392025
790553382427735,790553384587356,-0.32695673,0.94503931
790553416423504,790553417942876,-0.29116162,0.95667388
790553449938803,790553451298396,-0.25997347,0.96561576
790553482984106,790553484654172,-0.22751730,0.97377404
790553516995543,790553518009948,-0.19086966,0.98161539
790553549925694,790553551365212,-0.15619848,0.98772569
790553582788424,790553584720988,-0.12127026,0.99261953
790553616916051,790553618076508,-0.09008449,0.99593413
790553649860312,790553651432284,-0.06864503,0.99764115
790553682795455,790553684787804,-0.03667256,0.99932734
790553716803680,790553718143068,-0.00000000,1.00000000
790553749726150,790553751498588,0.01438700,0.99989650
790553783668345,790553784854364,0.05109596,0.99869375
790553816584334,790553818209884,0.06959826,0.99757510
790553850137486,790553851565148,0.10588291,0.99437860
790553883135602,790553884920668,0.12005557,0.99276717
790553917139741,790553918277212,0.15380813,0.98810073
790553950080634,790553951633500,0.17114596,0.98524568
790553983027194,790553984989788,0.18987791,0.98180771
790554017073077,790554018346332,0.22693070,0.97391091
790554050016120,790554051702364,0.20952909,0.97780241
790554083028945,790554085058908,0.21024695,0.97764831
790554117014640,790554118415196,0.21024695,0.97764831
790554149904416,790554151771484,0.20601048,0.97854978
790554183834513,790554185127772,0.20507083,0.97874714
790554216736210,790554218484316,0.20952909,0.97780241
790554250666286,790554251840348,0.20750421,0.97823413
790554283560480,790554285196892,0.19162017,0.98146916
790554317479701,790554318553180,0.19074513,0.98163959
790554350371172,790554351909212,0.17666406,0.98427121
790554383325059,790554385265756,0.17272003,0.98497096
790554417322292,790554418621788,0.16990692,0.98546012
790554450198016,790554451978076,0.15743228,0.98752978
790554484142634,790554485334620,0.14066389,0.99005741
790554517028375,790554518690652,0.13699398,0.99057188
790554549956839,790554552046940,0.12172946,0.99256332
790554583983777,790554585403484,0.10226476,0.99475722
790554616911235,790554618759516,0.10271471,0.99471086
790554650852055,790554652115804,0.07009742,0.99754015
790554683722650,790554685472092,0.06356546,0.99797767
790554717667806,790554718828124,0.05147805,0.99867413
790554750547005,790554752184412,0.03123475,0.99951208
790554783446836,790554785540700,0.01298592,0.99991568
790554817369769,790554818896732,-0.00000000,1.00000000
790554851314342,790554852253276,-0.01388755,0.99990356
790554884197647,790554885609564,-0.03148045,0.99950437
790554917133988,790554918965596,-0.06914107,0.99760689
790554950018110,790554952321884,-0.08621623,0.99627645
790554984020294,790554985678172,-0.10578605,0.99438891
790555017522239,790555019034204,-0.13917282,0.99026811
790555050445396,790555052390492,-0.15571269,0.98780239
790555084252855,790555085746780,-0.18842382,0.98208781
790555117134030,790555119102812,-0.21200028,0.97726960
790555150944895,790555152458844,-0.23708930,0.97148786
790555183645850,790555185815132,-0.25563705,0.96677283
790555217473930,790555219171164,-0.28874180,0.95740701
790555250967776,790555252527452,-0.32138825,0.94694751
790555284153239,790555285883484,-0.34174306,0.93979342
790555317365386,790555319239516,-0.37353644,0.92761550
790555350448334,790555352595804,-0.40364021,0.91491780
790555384706610,790555385951836,-0.43873604,0.89861598
790555417769927,790555419307868,-0.46574643,0.88491822
790555450815099,790555452663900,-0.49884976,0.86668848
790555484085368,790555486020188,-0.52999894,0.84799830
790555517186642,790555519375964,-0.55703522,0.83048887
790555550668481,790555552732252,-0.58639739,0.81002352
790555584550345,790555586088284,-0.61428631,0.78908322
790555617333227,790555619444316,-0.64160681,0.76703370
790555651110472,790555652800348,-0.66958624,0.74273432
790555683927301,790555686156380,-0.69441489,0.71957485
